osm_id,code,fclass,name,LAT,LONG
1177155562,5601,railway_station,Baiyyappanahalli Junction,"077° 39' 6.17""""  ","12° 59' 28.35"""" "
1177705836,5601,railway_station,Whitefield,"077° 45' 41.12""""  ","12° 59' 47.04"""" "
1191359734,5601,railway_station,Khanapur,"074° 29' 58.93""""  ","15° 38' 15.99"""" "
1225732184,5601,railway_station,Ambewadi,"074° 37' 2.76""""  ","15° 16' 22.48"""" "
1282829831,5601,railway_station,Devanahalli,"077° 42' 19.47""""  ","13° 14' 51.15"""" "
1365827451,5601,railway_station,Kadakola,"076° 39' 49.99""""  ","12° 11' 26.95"""" "
1368272943,5601,railway_station,Sagar Jambagaru,"075° 01' 24.65""""  ","14° 10' 12.3"""" "
1377759098,5601,railway_station,Navalur,"075° 03' 22.33""""  ","15° 24' 54.76"""" "
1384237103,5601,railway_station,Kumta,"074° 25' 16.48""""  ","14° 26' 14.07"""" "
1384317801,5601,railway_station,Gokarna Road,"074° 22' 3.82""""  ","14° 35' 1.85"""" "
1384974167,5601,railway_station,Honnavar,"074° 25' 56.65""""  ","14° 18' 57.24"""" "
1404460876,5601,railway_station,Sidlagatta,"077° 51' 50.95""""  ","13° 23' 31.46"""" "
1422424831,5601,railway_station,Udupi,"074° 46' 15.0""""  ","13° 20' 9.86"""" "
1462153602,5601,railway_station,Gadag Junction,"075° 38' 31.78""""  ","15° 26' 11.31"""" "
1463736886,5601,railway_station,Lottegollahalli,"077° 33' 47.1""""  ","13° 02' 36.49"""" "
1465593508,5601,railway_station,Hulkoti,"075° 31' 43.98""""  ","15° 25' 59.47"""" "
1467829837,5601,railway_station,Harihar,"075° 48' 39.77""""  ","14° 30' 55.27"""" "
1472190894,5601,railway_station,Chikodi Road,"074° 46' 10.84""""  ","16° 22' 19.18"""" "
1473027333,5601,railway_station,Narasambudhi,"076° 44' 58.21""""  ","12° 04' 31.87"""" "
1489649987,5601,railway_station,Pandavapura,"076° 40' 51.84""""  ","12° 27' 49.6"""" "
1491693696,5601,railway_station,Malkhaid Road,"077° 10' 27.49""""  ","17° 08' 50.68"""" "
1516238750,5601,railway_station,Kudachi,"074° 51' 30.28""""  ","16° 37' 27.44"""" "
1516238751,5601,railway_station,Ugar Khurd,"074° 49' 15.71""""  ","16° 40' 12.43"""" "
1516239415,5601,railway_station,Raybag,"074° 48' 25.6""""  ","16° 29' 1.34"""" "
1561036161,5601,railway_station,Hosapete Junction,"076° 23' 11.7""""  ","15° 17' 11.53"""" "
1576973953,5601,railway_station,Madavara,"077° 28' 22.1""""  ","13° 03' 26.72"""" "
